id,slug,nome,classe,categoria,status_sistema,status_regulatorio,fonte_tecnica,observacoes
44,sulfato-de-amonio,Sulfato de amônio,fertilizante,mineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
45,nitrato-de-calcio,Nitrato de cálcio,fertilizante,mineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
46,map,MAP,fertilizante,mineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
47,dap,DAP,fertilizante,mineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
48,superfosfato-simples,Superfosfato simples,fertilizante,mineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
49,superfosfato-triplo,Superfosfato triplo,fertilizante,mineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
50,cloreto-de-potassio,Cloreto de potássio,fertilizante,mineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
51,fosfato-monopotassico-mkp,Fosfato monopotássico MKP,fertilizante,mineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
52,nitrato-de-potassio,Nitrato de potássio,fertilizante,mineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
53,sulfato-de-magnesio,Sulfato de magnésio,fertilizante,mineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
54,enxofre-bentonita,Enxofre bentonita,fertilizante,mineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
55,boro-granubor,Fonte de boro (Granubor),fertilizante,mineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
56,fosfato-natural-reativo,Fosfato natural reativo,fertilizante,mineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
57,npk-s-granulado,NPK+S granulado,fertilizante,mineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
58,esterco-bovino-curtido,Esterco bovino curtido,fertilizante,organico,pre_cadastrado,tipo_tecnico_generico,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
59,cama-de-frango-curtida,Cama de frango curtida,fertilizante,organico,pre_cadastrado,tipo_tecnico_generico,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
60,composto-organico,Composto orgânico,fertilizante,organico,pre_cadastrado,tipo_tecnico_generico,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
61,humus-de-minhoca,Húmus de minhoca,fertilizante,organico,pre_cadastrado,tipo_tecnico_generico,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
62,torta-de-mamona,Torta de mamona,fertilizante,organico,pre_cadastrado,tipo_tecnico_generico,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
63,organomineral-npk-granulado,Organomineral NPK granulado,fertilizante,organomineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
64,biofertilizante-liquido-fermentado,Biofertilizante líquido fermentado,fertilizante,biofertilizante,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
65,extrato-de-algas,Extrato de algas,fertilizante,biofertilizante,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
66,inoculante-bradyrhizobium-soja,Inoculante Bradyrhizobium para soja,fertilizante,inoculante,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
67,inoculante-azospirillum-milho,Inoculante Azospirillum para milho,fertilizante,inoculante,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
68,calcario-dolomitico,Calcário dolomítico,fertilizante,corretivo,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
69,gesso-agricola,Gesso agrícola,fertilizante,corretivo,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
